st,qmb_single,qmb_couple,slmb_single,slmb_couple,qi1_single,qi1_couple,qi2_single,qi2_couple
"AK","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"AL","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"AR","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"AZ","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"CA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"CO","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"CT","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"DC","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"DE","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"FL","5000.00","6000.00","5000.00","6000.00","5000.00","6000.00","5000.00","6000.00"
"GA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"HI","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"IA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"ID","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"IL","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"IN","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"KS","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"KY","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"LA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"MA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"MD","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"ME","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","4000.00","6000.00"
"MI","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"MN","10000.00","18000.00","10000.00","18000.00","10000.00","18000.00","10000.00","18000.00"
"MO","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"MS","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"MT","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"NC","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"ND","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"NE","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"NH","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"NJ","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"NM","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"NV","4000.00","6000.00","4000.00","6000.00","6000.00","6000.00","4000.00","6000.00"
"NY","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"OH","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"OK","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"OR","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"PA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"RI","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"SC","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"SD","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"TN","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"TX","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"UT","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"VA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"VT","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00","1000000.00"
"WA","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"WI","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"WV","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
"WY","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00","4000.00","6000.00"
